# fold XOR-differential scan
ffffffffffffffff ffffffffffffffff allones
fffffffffffffffe ffffffffffffffff allones_clr_d0_b0
ffffffffffffffff fffffffffffffffe allones_clr_d1_b0
fffffffffffffffe fffffffffffffffe allones_clr_both_b0
fffffffffffffffd ffffffffffffffff allones_clr_d0_b1
ffffffffffffffff fffffffffffffffd allones_clr_d1_b1
fffffffffffffffd fffffffffffffffd allones_clr_both_b1
fffffffffffffffb ffffffffffffffff allones_clr_d0_b2
ffffffffffffffff fffffffffffffffb allones_clr_d1_b2
fffffffffffffffb fffffffffffffffb allones_clr_both_b2
fffffffffffffff7 ffffffffffffffff allones_clr_d0_b3
ffffffffffffffff fffffffffffffff7 allones_clr_d1_b3
fffffffffffffff7 fffffffffffffff7 allones_clr_both_b3
ffffffffffffffef ffffffffffffffff allones_clr_d0_b4
ffffffffffffffff ffffffffffffffef allones_clr_d1_b4
ffffffffffffffef ffffffffffffffef allones_clr_both_b4
ffffffffffffffdf ffffffffffffffff allones_clr_d0_b5
ffffffffffffffff ffffffffffffffdf allones_clr_d1_b5
ffffffffffffffdf ffffffffffffffdf allones_clr_both_b5
ffffffffffffffbf ffffffffffffffff allones_clr_d0_b6
ffffffffffffffff ffffffffffffffbf allones_clr_d1_b6
ffffffffffffffbf ffffffffffffffbf allones_clr_both_b6
ffffffffffffff7f ffffffffffffffff allones_clr_d0_b7
ffffffffffffffff ffffffffffffff7f allones_clr_d1_b7
ffffffffffffff7f ffffffffffffff7f allones_clr_both_b7
fffffffffffffeff ffffffffffffffff allones_clr_d0_b8
ffffffffffffffff fffffffffffffeff allones_clr_d1_b8
fffffffffffffeff fffffffffffffeff allones_clr_both_b8
fffffffffffffdff ffffffffffffffff allones_clr_d0_b9
ffffffffffffffff fffffffffffffdff allones_clr_d1_b9
fffffffffffffdff fffffffffffffdff allones_clr_both_b9
fffffffffffffbff ffffffffffffffff allones_clr_d0_b10
ffffffffffffffff fffffffffffffbff allones_clr_d1_b10
fffffffffffffbff fffffffffffffbff allones_clr_both_b10
fffffffffffff7ff ffffffffffffffff allones_clr_d0_b11
