WARNING: Hash with verification code db5810d3 was already registered: chainhash-adjacent-256
         Are you certain chainhash-adjacent-256-b2 is a unique implementation?
WARNING: Hash with verification code db5810d3 was already registered: chainhash-adjacent-256
         Are you certain chainhash-adjacent-256-b4 is a unique implementation?
WARNING: Hash with verification code db5810d3 was already registered: chainhash-adjacent-256
         Are you certain chainhash-adjacent-256-b8 is a unique implementation?
--- Testing chainhash-adjacent-256-b4 "ChainHash adjacent LD2, 256-byte definition, batch=4" [neon-ld2-pmull]

[[[ Speed Tests ]]]

Small key speed test - [1, 31]-byte keys
   1-byte keys -    82.72 cycles/hash
   2-byte keys -    83.16 cycles/hash
   3-byte keys -    84.72 cycles/hash
   4-byte keys -    86.50 cycles/hash
   5-byte keys -    85.61 cycles/hash
   6-byte keys -    85.83 cycles/hash
   7-byte keys -    86.05 cycles/hash
   8-byte keys -    82.94 cycles/hash
   9-byte keys -    84.05 cycles/hash
  10-byte keys -    84.05 cycles/hash
  11-byte keys -    83.61 cycles/hash
  12-byte keys -    83.61 cycles/hash
  13-byte keys -    84.05 cycles/hash
  14-byte keys -    83.38 cycles/hash
  15-byte keys -    83.38 cycles/hash
  16-byte keys -    78.49 cycles/hash
  17-byte keys -    90.06 cycles/hash
  18-byte keys -    90.28 cycles/hash
  19-byte keys -    89.83 cycles/hash
  20-byte keys -    90.50 cycles/hash
  21-byte keys -    90.28 cycles/hash
  22-byte keys -    90.28 cycles/hash
  23-byte keys -    90.06 cycles/hash
  24-byte keys -    90.06 cycles/hash
  25-byte keys -    90.28 cycles/hash
  26-byte keys -    89.83 cycles/hash
  27-byte keys -    90.72 cycles/hash
  28-byte keys -    90.28 cycles/hash
  29-byte keys -    90.06 cycles/hash
  30-byte keys -    90.06 cycles/hash
  31-byte keys -    89.83 cycles/hash
Average        -    86.92 cycles/hash
 rnd-byte keys -    87.09 cycles/hash

Bulk speed test - 262144-byte keys
Alignment   7 - 10.48 bytes/cycle - 34.16 GiB/sec @ 3.5 ghz
Alignment   6 - 10.48 bytes/cycle - 34.16 GiB/sec @ 3.5 ghz
Alignment   5 - 10.48 bytes/cycle - 34.16 GiB/sec @ 3.5 ghz
Alignment   4 - 10.48 bytes/cycle - 34.16 GiB/sec @ 3.5 ghz
Alignment   3 - 10.48 bytes/cycle - 34.16 GiB/sec @ 3.5 ghz
Alignment   2 - 10.48 bytes/cycle - 34.16 GiB/sec @ 3.5 ghz
Alignment   1 - 10.48 bytes/cycle - 34.16 GiB/sec @ 3.5 ghz
Alignment   0 - 10.48 bytes/cycle - 34.16 GiB/sec @ 3.5 ghz
Average       - 10.48 bytes/cycle - 34.16 GiB/sec @ 3.5 ghz
Alignment rnd - 10.48 bytes/cycle - 34.16 GiB/sec @ 3.5 ghz

Bulk speed test - [262017, 262144]-byte keys
Alignment   7 - 10.33 bytes/cycle - 33.66 GiB/sec @ 3.5 ghz
Alignment   6 - 10.38 bytes/cycle - 33.84 GiB/sec @ 3.5 ghz
Alignment   5 - 10.35 bytes/cycle - 33.75 GiB/sec @ 3.5 ghz
Alignment   4 - 10.35 bytes/cycle - 33.73 GiB/sec @ 3.5 ghz
Alignment   3 - 10.35 bytes/cycle - 33.73 GiB/sec @ 3.5 ghz
Alignment   2 - 10.26 bytes/cycle - 33.44 GiB/sec @ 3.5 ghz
Alignment   1 - 10.35 bytes/cycle - 33.75 GiB/sec @ 3.5 ghz
Alignment   0 - 10.48 bytes/cycle - 34.15 GiB/sec @ 3.5 ghz
Average       - 10.36 bytes/cycle - 33.76 GiB/sec @ 3.5 ghz
Alignment rnd -  9.93 bytes/cycle - 32.37 GiB/sec @ 3.5 ghz

Verification value is 0x00000001 - Testing took 53.527526 seconds

