case,bytes,output_hex
0,0,0000000000000000
1,0,0000000000000000
2,0,0000000000000000
3,0,0000000000000000
4,1,6635afb8887e59c5
5,1,defa92c6471358de
6,1,ab8f9fce0834cbe6
7,1,8008349dfde8fb4c
8,2,c41a475a95f4b105
9,2,9415bfcfa9d6b3c8
10,2,c157190fc12dfab8
11,2,2494cd2839e304cf
12,3,1cc029a696725cf1
13,3,c4f1dd872aae1842
14,3,d03a24ff8f297246
15,3,2b51c53824d501c5
16,4,f264a3d0bb583cd5
17,4,35a23b377b5ffaf5
18,4,59cbb89b2ce28d15
19,4,01603c2b2817a705
20,5,bc44a9b3480daab3
21,5,1815a7fe9a1f5440
22,5,a15b9f173228f114
23,5,2b764dd14b89e18a
24,6,1511d3c4df5c18df
25,6,9ddf516ee248ddc4
26,6,e0ab23759092c43a
27,6,dc2adb44f5b172d4
28,7,0e3b8f16d07740da
29,7,65dc071bb44983f1
30,7,d729e234ce1d7c3b
31,7,3258236e9563b625
32,8,48bd59fd75418190
33,8,34cba53c51089c74
34,8,76d68f3577d73661
35,8,0cd94d266a95ee7a
36,9,b1735d5c264a3371
37,9,d7d519991e3d5fac
38,9,1816c71b79ad52d3
39,9,49f748d052359773
40,10,2062508c4eb6b904
41,10,fd50fe2d050c3f9c
42,10,f071598cc1ca8c65
43,10,3b7fb43aa9c0d483
44,11,da4293616c3d2fc0
45,11,aefb9b57e558d3c3
46,11,b9765d06c5d9e592
47,11,6b9bb86046a225d1
48,12,62236de5546ff888
49,12,195ec50e5ba28ce2
50,12,a2059fb471eeb971
51,12,4d1f7c3dff34f566
52,13,d579f08ee38dc201
53,13,12072b760c5d96c4
54,13,a335f39f62bd5eb5
55,13,f8b39f450a7e84cd
56,14,3bde56e8a3471034
57,14,e826d2822324bdd8
58,14,5a79fab1e494270d
59,14,1787db5577f76199
60,15,9f0dd1f38bfc1dca
61,15,de36ab0230a93073
62,15,28c0e2656f6002ee
63,15,639f19196312826a
64,16,8afa479623320e27
65,16,b31dc2ac0b08d21f
66,16,13cf4655fbb01058
67,16,2711d406de497a38
68,17,4d2c831b9c4faba6
69,17,359e14cfae455973
70,17,f16eb0802d39cf48
71,17,41de4feb800af47b
72,18,a19f78b049731402
73,18,2745affa159c1b24
74,18,799a569e574da35a
75,18,440bddc6c0f6e939
76,19,ebe5232bad081c59
77,19,4d0f64733bc9db60
78,19,1dfc345868496012
79,19,2e482a6d7f6a36d1
80,20,de6909da6871a183
81,20,38f4f67c26ef2bb8
82,20,f7bd9107b129f37d
83,20,83698d30e5eebfac
84,21,c79c06aeaf48805d
85,21,07137cf952006c2d
86,21,64d5db8b867db184
87,21,7237b6e5dbfbcc9f
88,22,e8e4348f29bec1e5
89,22,6bc3e614dc34b6ac
90,22,cc47ad70d2e9b9fc
91,22,a7e8390f3802688a
92,23,89375f50aa36796c
93,23,fc054a7abf664150
94,23,e3c05fe4f43dceab
95,23,0edbd99b26961600
96,24,f06c0ddff403d58d
97,24,2d985fee43619efc
