# 80596 candidates; top 40 by bits = log2(L) + (naf(m)-1) + w
bits	word	m	k	w	naf(m)	len	L	D_lo	D_hi	positions
20.000	u	21	59	16	3	32	4	4000000000000000	8a0410a90284044a	[59, 61, 63]
20.000	v	33	58	17	2	25	4	0400000000000000	a2408260a1409290	[58, 63]
20.585	u	21	0	17	3	19	3	4082152050808948	0000000000000011	[0, 2, 4]
20.585	u	21	1	17	3	19	3	81042a40a1011290	0000000000000022	[1, 3, 5]
20.585	u	21	2	17	3	19	3	0208548142022520	0000000000000045	[2, 4, 6]
20.585	u	21	3	17	3	19	3	0410a90284044a40	000000000000008a	[3, 5, 7]
20.585	u	21	4	17	3	22	3	0821520508089480	0000000000000114	[4, 6, 8]
20.585	u	21	5	17	3	22	3	1042a40a10112900	0000000000000228	[5, 7, 9]
20.585	u	21	6	17	3	22	3	2085481420225200	0000000000000450	[6, 8, 10]
20.585	u	21	7	17	3	22	3	410a90284044a400	00000000000008a0	[7, 9, 11]
20.585	u	21	8	17	3	22	3	8215205080894800	0000000000001140	[8, 10, 12]
20.585	u	21	9	17	3	22	3	042a40a101129000	0000000000002281	[9, 11, 13]
20.585	u	21	10	17	3	22	3	0854814202252000	0000000000004502	[10, 12, 14]
20.585	u	21	11	17	3	22	3	10a90284044a4000	0000000000008a04	[11, 13, 15]
20.585	u	21	12	17	3	23	3	2152050808948000	0000000000011408	[12, 14, 16]
20.585	u	21	13	17	3	23	3	42a40a1011290000	0000000000022810	[13, 15, 17]
20.585	u	21	14	17	3	23	3	8548142022520000	0000000000045020	[14, 16, 18]
20.585	u	21	15	17	3	23	3	0a90284044a40000	000000000008a041	[15, 17, 19]
20.585	u	21	16	17	3	23	3	1520508089480000	0000000000114082	[16, 18, 20]
20.585	u	21	17	17	3	23	3	2a40a10112900000	0000000000228104	[17, 19, 21]
20.585	u	21	18	17	3	23	3	5481420225200000	0000000000450208	[18, 20, 22]
20.585	u	21	19	17	3	23	3	a90284044a400000	00000000008a0410	[19, 21, 23]
20.585	u	21	48	17	3	18	3	8948000000000000	0011408215205080	[48, 50, 52]
20.585	u	21	49	17	3	18	3	1290000000000000	002281042a40a101	[49, 51, 53]
20.585	u	21	50	17	3	18	3	2520000000000000	0045020854814202	[50, 52, 54]
20.585	u	21	51	17	3	18	3	4a40000000000000	008a0410a9028404	[51, 53, 55]
20.585	v	33	0	18	2	19	3	902098285024a401	0000000000000018	[0, 5]
20.585	v	33	1	18	2	19	3	20413050a0494802	0000000000000031	[1, 6]
20.585	v	33	2	18	2	19	3	408260a140929004	0000000000000062	[2, 7]
20.585	v	33	8	18	2	23	3	2098285024a40100	0000000000001890	[8, 13]
20.585	v	33	9	18	2	23	3	413050a049480200	0000000000003120	[9, 14]
20.585	v	33	10	18	2	23	3	8260a14092900400	0000000000006240	[10, 15]
20.585	v	33	11	18	2	23	3	04c1428125200800	000000000000c481	[11, 16]
20.585	v	33	12	18	2	23	3	098285024a401000	0000000000018902	[12, 17]
20.585	v	33	13	18	2	23	3	13050a0494802000	0000000000031204	[13, 18]
20.585	v	33	14	18	2	23	3	260a140929004000	0000000000062408	[14, 19]
20.585	v	33	15	18	2	23	3	4c14281252008000	00000000000c4810	[15, 20]
20.585	v	33	16	18	2	22	3	98285024a4010000	0000000000189020	[16, 21]
20.585	v	33	17	18	2	22	3	3050a04948020000	0000000000312041	[17, 22]
20.585	v	33	18	18	2	22	3	60a1409290040000	0000000000624082	[18, 23]

# best m=1 (single-bit) per word and L
u L=3: bits 23.585 k=0 w=22 len=19 D_lo=d2512590c0c51228 D_hi=0000000000000000
u L=4: bits 23.000 k=63 w=21 len=32 D_lo=0000000000000000 D_hi=a92892c860628914
v L=3: bits 25.585 k=0 w=24 len=19 D_lo=ca52698a9650a021 D_hi=0000000000000000
v L=4: bits 25.000 k=63 w=23 len=25 D_lo=8000000000000000 D_hi=a52934c54b285010
