# controls: random and low-weight pairs
1 71 5b R1_random
2 75e9 555a R2_random
3 bd30bb d1a77a R3_random
4 1f598807 23f9737d R4_random
5 5b76578470 15788aced7 R5_random
8 437409fbe197ea31 a689d3f5d646acf9 R8_random
9 e81cda39a6019deedb 16c0798eaa33b6c271 R9_random
12 c4f92f2b0c15714c06613b2e f922600db8b797612d201334 R12_random
16 d50a152b6838fb5bce9abec27f22e12c 3bd510d04466d75ab280f49fd9003491 R16_random
17 929c9976d6264271a6b89bbb3fbdad886f 2483fe95b186ae868e63cb07c92221aa20 R17_random
24 561c76841138df8946d9a8913d99457d58d66fc8cd528edd 1af05631191ef097c8028f494367db3168de6abba81bb848 R24_random
31 9f0c403a027729343f34df7de6096b19d33878c00e04bf7e5972fc7a91f93a 9b6e48214ce7ee3bf74c77a75e236f537cb1df4e194dcac90ab2ebb918b05e R31_random
32 89b8d61131a6b12fecb785a3d5b8aceda01de0f46ff2de7dc5e2e679c293b192 99d57fbd7ac1748a3f4e7d4bfa31b1ebd4904d27aa09ae769c3b3a5021cd598f R32_random
33 33fcbee6ea20db22498e6400dd96affa7d3e5e5ff012d9f1e4ff6c05760ae06bbd 5016eb23af82e04df05220782704131cc485ca9cfd0b45d4bbcdd616e9c9183b31 R33_random
48 76c0bf893ab0faf56fe1f482775521acadb772b8468c3705d3e184ef4b51e4032035a78ec325e53bbe2353f837672681 4a24e78b775679714d61b29150dd383e5c84713d6d98bc0830c4dea68ca0538631ef605dda9fcae4b68b5a37940d2168 R48_random
63 0885add06952ea7676fa70012bfa273e19c75aaaf3f604a9290f365587b532394acd32f2c9dd5950ee382ed2277ecb31179699dadf9ef6a4cdaa4b413666fa 9678a3f9ef0f458b6c737848f0f04a5b0257065a5e48b056a15f4fb642708e0b3dd68ef1626f538b6fd3361e39d0a48f64645bc5b647085a96545248555d8b R63_random
64 f7975d8aef1640a1b6444e324076f6dfce66c7864951d4bc7768d3b7b7e824faf0d5094d9f60b7b79ab36d740dbe1c69603dea32020e9e27fb032b8c9efd04d4 0b2d691a91555be5d9aed9ac941df836a16932ec9095f2a60b54d4514e7b1fffcc81c8fe1df0c7e1b5e89ca63c1fb16d03c27c732c37645f0d98221f5b44a636 R64_random
65 87e3596bfab96c66e337d25cd6a63930b72a19daf11640f1f43be8918e6aa329e0ff06572d0c0c258fc011221f2e9ed119b4cf93f034d1f2f100565783d99c79e9 052fbdfd374df66c53633707dea3e6c59add4aef4e234b61afdf002188113a03b8cd76de80c4386351b77ad82226e078122100de67add78b0276c521bde716056c R65_random
96 c9bf2755d1f1293cc36775816f04250ae2a7d4f61972d99040627ec4c41781f1663cd27a974afede0c5aec0af0fba4b8f87f0d471c2ff6bfe42c6efe3a06e8863f7aa953d338663e5d8579b90d22242cfceff566565c8aae9a5799cb05835a20 1b558487937593420611d227117f8a47e6912eedcfa6113dd68f6053ff6afd9465dca65ba016a819acb6636345229bc5c6a96df37b421c81fe8fcbd82096845baa85392f2b8101ceb188fae557a299d2bf9b8e85e8ff8b1855f20f6fe2cc82be R96_random
128 ea8089c159067471755114df35aa32a6b1178e9fb4cf8dd02291b08192ce7de3cbf59c867d63e63d2f4dcb3c610a853c0086bcb6d72a7998464534614baaa96a4d8dd090e8c4b1d0f544bab89cb6202e058df5787509ed6054072951241709b68ad3f4d569ae0869bfd7605781b83df76fc1a3e7502f1a011794cc2eb66fe92a b5578b1bb860216387e95d38d6cdee60169381ea3de3318cd2076e207e284e8828609ee7eb5967610647a2df28dcd1195aa49f1e8925e349b0d92e06b7ff21aa90d026569b3f0c047d3e2ba5bd5db1b4e06246d14ad7ac2888a4885dce2d111bd941277203fcda88a6aec1ada3e58601b02248d6791582c84ae32d422e20620b R128_random
129 e59a2682ffd9296d459baef693bb5ba1b4725102d4f7d1029860500f4bb68dfa632a3b80d3fffc6850b62fe12bd4593634e589513737e8bd13192e3b3c1464ca65b585fa3d3171a0c9c16af2c84099f725590983bdd5c96443830ae7f4eaadaafe0248b96a4afce1ee152b18dd810d62430e08f0d248302642db96de47892cb5eb 63be48f2d02cf20d2aa31a315c8c5adf7080ab08e549a842531886eb0d2cef49702aa2981b90e2a5453458e33665ab8ca2786fb537cd709d4ea994b01be6d8f1326075f541dcd6ff0909655124e1a25a4fee4442965657d199a95d9423d2ff751865af9b26b2ee6f2e483db4cb1be856c33172ac3f7fa86b3bfbcf5c6e2fc4486a R129_random
160 c78c5e59f08f4ae6c8056fbd40e986ba46830a4483d103e401df1b24adfdc168543879181b61fa9f14e649e37f3d557b31bbb631a8e46c194158a7d6f405a2d16a5f55ee064ba84386c461aff8a91f20a8e8bc0f46e80f47997385036c37cda52af586c00e4879930fcca0083d4130a6c63b28645ac53e1e2c9a898f2f7c6e33e283a96dd190b8e76874142bdc770c1ca5c7de1a6b3d3904ac0e9950066a56f8 4c56f0875a8c31f2efcf14b58d7c99b74b55bb16e351e59b2cec0739627830b084096ea267a1311ddaf96ea6fafc736ab896232a4f5208430b79757d1ff97ddc1c5cc30f7a8179d8b9acd7d8334b4b8146b4e3ffdcd4edda04cab62bafc1be1e1c912c818cf1e497aa1760ea3a1065d5b6318cba625aac2f1bd2e260462805d02d173e8bd8c0d7cbb6cbe432294f067cc936ffd53ed2cf1cea4951ec61ad8e09 R160_random
192 ac16de3d02069053d62f4c3d0a76f0c5cde3438e2bf6307cd5e9cfb238c56993da13b4ebdd36f7eaad969eb0fa04741630faed0581bd1147606452ca30ec4161bd9ab26536126789d8953609a4424707bfea658f9ea4be641c67f7d3be9dd55500ff98ad576e25f6d306b4d8216e7a6dace9a4e548e5b6cafde115b3284998b83089c1a045185e89ebf22e95e50259ceef339eb50ddd19497caf70c98eaef46a98145f2a91b1318a756a8a29e7110985cbd923e412724808591fe4ffc65c3bf5 e2ff5f11f5f27304e479d415fd234ccea769b5e3d8d8c1d9208e361de614fc8cfb9bf05e7ddccc4cc2baabc0a683467565d7811762d157d1c339224c55e17b09dab61ae8ef508b1daedb7bfa4ddc40f958fde2a7ba1650798926c15b9770d5eb8cce1923fe07843dd7d634baf371298ad73c58660d90ef9757c935aebda58c35f7f0c70d984c10d9712d5e6fc8d706611027ce239cd2df105ba58891fd915533ccef27e5908f974c289a2857730837cb7cb6df04d7aded993af834894a637e24 R192_random
